life_frac,pronostia_vib_median,pronostia_temp_median,original_vib_median,original_temp_median,calibrated_vib_median,calibrated_temp_median
0.0,0.0026498824526022704,-0.410050097573763,-0.05018929283338473,-0.05092187198254418,-0.0003029134652609446,-0.19797762464016638
0.01,0.0014601213850056532,-0.407908228389121,-0.04210719860125725,-0.04332629967425003,0.00012183681604133938,-0.16133416121647653
0.02,0.0028331430550083644,-0.22784957154637733,-0.031430666711740426,-0.032472286435913614,0.00018041958585682206,-0.11618480067858392
0.03,0.010966976832504896,-0.12102383502876374,-0.021023061267548063,-0.021852912804037446,-0.0003509340677858289,-0.0751459986055709
0.04,0.003116056970965173,-0.06358669137564457,-0.010247376790848368,-0.01117022427040668,0.0009503947326702276,-0.03482516656077661
0.05,-0.000375436378141025,0.0,0.00026892496620330457,0.00020107722567578885,0.0001541050748647113,0.0006528167447964132
0.06,0.0006099681731862749,0.08407851473681613,0.01107413144105835,0.011852809973395145,-0.0008019989978588666,0.039807233818258805
0.07,-0.0012867330116957594,0.12308598576746241,0.021903406774226506,0.022809756149099913,-0.00025877459006534416,0.07554985719063317
0.08,-0.001398168513271087,0.21983329076598002,0.03155741644624531,0.030506744663156136,0.00011984301988926418,0.11075271081064472
0.09,-0.003995423852990279,0.2764527200419905,0.04280275103603746,0.040247991537057944,0.000895196613301683,0.14189284364007768
0.1,-0.003737104043063476,0.303835105268975,0.05335146123943746,0.05090721979584571,-0.0003421861175409684,0.17526761718543452
0.11,-0.007236314245950032,0.32148947788408244,0.06368981616666083,0.06378451666058554,0.0013489724132157777,0.20768214362863566
0.12,-0.004459924678895397,0.39594137687056674,0.074263051526025,0.07412999676353493,-0.0005262108903508456,0.23861780532708982
0.13,-0.007400544981054683,0.36212099789435553,0.08518938302751344,0.0847234845186389,-0.000512999047829456,0.27017731026824576
0.14,-0.011013381714781991,0.3842568924818725,0.09537747569688457,0.09433665652983944,0.0018951271004284851,0.29507430975405147
0.15,-0.012410214032315736,0.40894193054154737,0.10636608252188684,0.10508806018932451,-0.0001364756281682863,0.32192477221002797
0.16,-0.008568385661816839,0.42194767494889246,0.11633001078172574,0.11438437578750316,-0.0014381859190584364,0.3453637400018821
0.17,-0.008864722070115653,0.4258425737941839,0.12714311438575654,0.12556620544723268,-0.0003443502269825166,0.36894324076780716
0.18,-0.010104622264637651,0.4103079938520113,0.13791934828548802,0.13704154150693865,-0.0015122621390421536,0.39328546345671056
0.19,-0.010104622264637651,0.44282976837441496,0.1486880135074426,0.14901720410641556,0.001127630217985964,0.4143715908011455
0.2,-0.016349960127331385,0.46029332934441336,0.15901007496444597,0.1582262677610287,0.001414602502411631,0.438521455315549
0.21,-0.017628636919664927,0.4719331300828822,0.17013053826579316,0.16901335737781267,-0.001063493338357404,0.4625945861600652
0.22,-0.016260337245644838,0.48905726070086014,0.18062571123896243,0.17818437575822088,-0.0014602595878763752,0.48341620474488023
0.23,-0.010449261142742658,0.48784942071483584,0.19058866068563346,0.190134678299069,0.00031550346731967934,0.49982466075534393
0.24,-0.01146127841710491,0.6174711139595491,0.20123798498951126,0.19941460701659555,-0.0009725463370891415,0.5223104546977531
0.25,-0.011200841548228658,0.905004294532085,0.2116114284492526,0.20936832103528613,-0.000431049491950385,0.5373938521928832
0.26,-0.015957094382229434,0.8225064629736459,0.22149380961818826,0.2223277680000237,-8.276975150250222e-06,0.5505798459969211
0.27,-0.013153641093606092,0.8345857173439674,0.2325615858840367,0.23117363915068573,0.0005508299180108256,0.5717978651506416
0.28,-0.011078913497820787,0.8186733386404201,0.24430687713904464,0.24061760379951141,-0.0020745158956420274,0.5904384096367616
0.29,-0.01708067521873371,0.7707288190494438,0.25408794961147785,0.25501519474869394,0.0009488039966439075,0.6059277550940079
0.3,-0.01702411207549005,0.6856950709184063,0.2643994503010534,0.26353091252417415,0.00195048477002859,0.6214849247829037
0.31,-0.02596924765932789,0.9231451558004816,0.2748876356978093,0.27534024352404796,-0.00019719207275150285,0.6331181590911225
0.32,-0.013955402501432937,0.8556141016941364,0.28510932080239326,0.28761691171591464,-0.002369858968003714,0.6534095161092062
0.33,-0.011165853498678569,0.7119603186088809,0.29650391954301825,0.293587104759251,-7.155868165211653e-05,0.6631488315102138
0.34,-0.011441275033666237,0.7264203848715508,0.3069596582761544,0.3040065060057004,-0.000238803357718234,0.6753355786895252
0.35000000000000003,-0.012660214272495378,0.7358957114926777,0.31719316851218543,0.31485605296680974,-0.001082528006848179,0.6851726180528926
0.36,-0.01216155134330932,0.9247088673378253,0.32790787967571133,0.3268391435052788,0.00012208510914343956,0.6987466414027393
0.37,-0.01237382829112767,0.8254150777626577,0.33860910562698243,0.3381881707955595,-0.0009754593047255592,0.7149343839141995
0.38,-0.013050930044739393,0.8621252325721023,0.3492034798405612,0.3456945604616288,-0.001359843339125635,0.7230179527602506
0.39,-0.01216155134330932,0.9044745376666732,0.36044427211706787,0.35844480391945976,-0.0007032651387471296,0.7375238891914522
0.4,-0.010810831307991311,0.9208598408721145,0.3702132437846014,0.3727928660231522,-8.101838058563742e-05,0.7491285485840873
0.41000000000000003,-0.027166697217242384,0.8170503374899744,0.3812196675545663,0.38138488461986675,0.00015737692581494828,0.758946804007828
0.42,-0.027166697217242384,0.8317654113044207,0.3917018461115611,0.3930918368655767,-0.0004422671906175372,0.7694285705855171
0.43,-0.02100461533779589,0.7871218708563026,0.40223981312766266,0.4007424562870035,0.0012588010448254246,0.778158945475376
0.44,-0.02663880054810236,0.7871218708563026,0.4135459714496257,0.4110583648145667,-0.0007309368781931918,0.7927144649018221
0.45,-0.013623265534395733,0.7942816929613443,0.42334373705693984,0.41947411417528624,-9.469819250380725e-05,0.7934007459379289
0.46,-0.01236269532814445,0.8008517748755599,0.43411024204380333,0.4307525405789546,0.0001834354121709318,0.8051719576233325
0.47000000000000003,-0.012162499309677041,0.8084750359669357,0.44445217069033605,0.4448427009486726,0.0003631964205283094,0.8142622902461516
0.48,-0.019822901621496896,0.8157993456429631,0.45517540073520146,0.453412369073511,-0.0016745898861236829,0.8158869746847239
0.49,-0.016999240313932497,0.8343604330869056,0.4663796164195112,0.4636176249088799,-0.00035906962144187035,0.8295284832563934
0.5,-0.012279312169028767,0.8408243222741466,0.4755615544881559,0.4757195047062307,-0.0030936969602771195,0.8404411252570765
0.51,-0.017663668707791493,0.8218354149675521,0.48667121538138414,0.484111872620996,-0.0010387742990974084,0.8393305941339728
0.52,-0.013253311727762486,0.8353970813029304,0.49774074303270727,0.4947404745666753,-0.0005442374677096962,0.8494037169456581
0.53,-0.01261678333530539,0.8357989107039286,0.5079749498064801,0.5059736443202265,0.0007790604024900019,0.8580873387480966
0.54,-0.014052098475835571,0.8807271381426258,0.5189456527974907,0.5171981379793367,-0.001220209394141618,0.8610816887761583
0.55,-0.016181974005540858,0.8845900002636687,0.5290849452585693,0.5264672974524061,-0.001607589038330874,0.8713332862815855
0.56,-0.013294551533778396,0.8538024334907653,0.538729353233344,0.5354601246661583,-0.0008866745907761245,0.8725337305386025
0.5700000000000001,-0.013621209450415346,0.8534761438500132,0.5498446415901319,0.5492191403936206,0.0007560652169483165,0.8794322412532836
0.58,-0.012493276042781153,0.8523733744918257,0.5612099309445717,0.5598960227816021,0.0002254447008408685,0.8874232805379044
